Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,3.5ft (106.7cm),MANTLEBEAM2-10,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,4ft (121.9cm),MANTLEBEAM2-11,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,4.5ft (137.2cm),MANTLEBEAM2-12,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,5ft (152.4cm),MANTLEBEAM2-13,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,5.5ft (167.6cm),MANTLEBEAM2-14,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,6ft (182.9cm),MANTLEBEAM2-15,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,6.5ft (198.1cm),MANTLEBEAM2-16,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x5"" (7.6x12.7cm)",,Sample2,MANTLEBEAM2-17,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,3ft (91.4cm),MANTLEBEAM2-18,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,3.5ft (106.7cm),MANTLEBEAM2-19,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,4ft (121.9cm),MANTLEBEAM2-20,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,4.5ft (137.2cm),MANTLEBEAM2-21,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,5ft (152.4cm),MANTLEBEAM2-22,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,5.5ft (167.6cm),MANTLEBEAM2-23,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,6ft (182.9cm),MANTLEBEAM2-24,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,6.5ft (198.1cm),MANTLEBEAM2-25,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"3""x6"" (7.6x15.2cm)",,Sample2,MANTLEBEAM2-26,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,3ft (91.4cm),MANTLEBEAM2-27,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
